ORISPL,UNIT,YEAR,N,DURATION,GLOAD,SLOAD,HEAT,CO2_MASS,SO2_MASS,NOX_MASS
3,1,1997,8247,8237,1069914,NA,9881963.88,1013935.556,13280440.588,4812642.951
3,1,1998,7882,7871,1061859,NA,9673117.536,992503.703,12289184.522,4787543.148
3,1,1999,8362,8357.5,1108957,NA,10328527.646,1059756.294,12210875.885,5807610.896
3,1,2000,8562,8555.5,1090867,NA,10552759.085,1082770.462,12106822.872,5595451.545
3,1,2001,7491,7486.25,927472,NA,9273491.087,951508.416,11389001.662,4808078.962
3,1,2002,6946,6935.5,778020,NA,7956632.624,816397.232,8969758.28,4442692.497
3,1,2003,7269,7264,929095,NA,9159965.635,939813.176,9235351.605,4344597.365
3,1,2004,8509,8504.25,1082575,NA,10606046.331,1088182.238,9738871.551,4327597.366
3,1,2005,7718,7708.5,992453,NA,9481943.533,972847.977,8442756.502,3287016.169
3,1,2006,8582,8575.5,1123980,NA,10615360.357,1089135.594,10303462.681,3470738.975
3,1,2007,8071,8058.25,1028301,NA,10183348.827,1044812.45,9629437.719,2968537.875
3,1,2008,8003,7997.75,928095,NA,8928400.764,916055.774,6923328.357,3252299.2
3,1,2009,2847,2830.75,243753,NA,2279917.675,233919.995,2082863.108,1000728.455
3,1,2010,4930,4916.25,469201,NA,4446263.65,456186.432,3896779.529,1822955.009
3,1,2011,5741,5728.25,344631,NA,3052056.025,313140.535,2637052.03,1493796.564
3,1,2012,2941,2934.25,168753,NA,1331233.65,136584.417,1147188.9,523393.239
3,1,2013,643,640.5,37145,NA,361971.025,37138.214,339619.241,156752.599
3,1,2014,451,447.25,26949,NA,243865.925,25020.925,216228.99,111029.601
3,1,2015,177,173.75,4936,NA,47638.925,3690.456,14763.641,11590.326
3,1,2016,531,524.5,11890,NA,184780.525,10953.057,2168.229,13800.912
3,1,2017,556,552.25,12931,NA,192058.875,11384.958,2232.74,11631.228
3,1,2018,969,966,31469,NA,457388.975,27113.161,4387.602,33599.352
3,1,2019,1087,1083.25,29454,NA,408262.775,24237.998,2053.687,23987.739
3,1,2020,227,225.25,5686,NA,78516.75,4667.875,47.131,4787.434
