YEAR,ORISPL,NAME,STATE,SECTOR,SECTOR_NAME,NAICS,CHP,REPORTING,CAPACITY
2011,2,Bankhead Dam,AL,1,Electric Utility,22,N,A,45
2012,2,Bankhead Dam,AL,1,,22,N,A,
2013,2,Bankhead Dam,AL,1,Electric Utility,22,N,A,
2014,2,Bankhead Dam,AL,1,,22,N,A,
2015,2,Bankhead Dam,AL,1,,22,N,A,
2016,2,Bankhead Dam,AL,1,,22,N,A,
2017,2,Bankhead Dam,AL,1,,22,N,A,
2011,3,Barry,AL,1,Electric Utility,22,N,M,2841.5
2012,3,Barry,AL,1,,22,N,M,
2013,3,Barry,AL,1,Electric Utility,22,N,M,
2014,3,Barry,AL,1,,22,N,M,
2015,3,Barry,AL,1,,22,N,M,
2016,3,Barry,AL,1,,22,N,M,
2017,3,Barry,AL,1,,22,N,M,
2011,4,Walter Bouldin Dam,AL,1,Electric Utility,22,N,M,225
2012,4,Walter Bouldin Dam,AL,1,,22,N,M,
2013,4,Walter Bouldin Dam,AL,1,Electric Utility,22,N,M,
2014,4,Walter Bouldin Dam,AL,1,,22,N,M,
2015,4,Walter Bouldin Dam,AL,1,,22,N,M,
2016,4,Walter Bouldin Dam,AL,1,,22,N,M,
2017,4,Walter Bouldin Dam,AL,1,,22,N,A,
2011,7,Gadsden,AL,1,Electric Utility,22,N,A,138
2012,7,Gadsden,AL,1,,22,N,A,
2013,7,Gadsden,AL,1,Electric Utility,22,N,A,
2014,7,Gadsden,AL,1,,22,Y,A,
2015,7,Gadsden,AL,1,,22,Y,A,
2016,7,Gadsden,AL,1,,22,Y,A,
2017,7,Gadsden,AL,1,,22,Y,M,
2011,8,Gorgas,AL,1,Electric Utility,22,N,M,1416.7
2012,8,Gorgas,AL,1,,22,N,M,
2013,8,Gorgas,AL,1,Electric Utility,22,N,M,
2014,8,Gorgas,AL,1,,22,N,M,
2015,8,Gorgas,AL,1,,22,N,M,
2016,8,Gorgas,AL,1,,22,N,M,
2017,8,Gorgas,AL,1,,22,N,M,
2011,9,Copper,TX,1,Electric Utility,22,N,A,80.5
2012,9,Copper,TX,1,,22,N,A,
2013,9,Copper,TX,1,Electric Utility,22,N,A,
2014,9,Copper,TX,1,,22,N,A,
2015,9,Copper,TX,1,,22,N,A,
2016,9,Copper,TX,1,,22,N,A,
2017,9,Copper,TX,1,,22,N,A,
2011,10,Greene County,AL,1,Electric Utility,22,N,M,1288.4
2012,10,Greene County,AL,1,,22,N,M,
2013,10,Greene County,AL,1,Electric Utility,22,N,M,
2014,10,Greene County,AL,1,,22,N,M,
2015,10,Greene County,AL,1,,22,N,M,
2016,10,Greene County,AL,1,,22,N,M,
2017,10,Greene County,AL,1,,22,N,M,
2011,11,H Neely Henry Dam,AL,1,Electric Utility,22,N,A,72.9
2012,11,H Neely Henry Dam,AL,1,,22,N,A,
2013,11,H Neely Henry Dam,AL,1,Electric Utility,22,N,A,
2014,11,H Neely Henry Dam,AL,1,,22,N,A,
2015,11,H Neely Henry Dam,AL,1,,22,N,A,
2016,11,H Neely Henry Dam,AL,1,,22,N,A,
2017,11,H Neely Henry Dam,AL,1,,22,N,A,
2011,12,Holt Dam,AL,1,Electric Utility,22,N,A,40
2012,12,Holt Dam,AL,1,,22,N,A,
2013,12,Holt Dam,AL,1,Electric Utility,22,N,A,
2014,12,Holt Dam,AL,1,,22,N,A,
2015,12,Holt Dam,AL,1,,22,N,A,
2016,12,Holt Dam,AL,1,,22,N,A,
2017,12,Holt Dam,AL,1,,22,N,A,
2011,13,Jordan Dam,AL,1,Electric Utility,22,N,A,100
2012,13,Jordan Dam,AL,1,,22,N,A,
2013,13,Jordan Dam,AL,1,Electric Utility,22,N,A,
2014,13,Jordan Dam,AL,1,,22,N,A,
2015,13,Jordan Dam,AL,1,,22,N,A,
2016,13,Jordan Dam,AL,1,,22,N,A,
2017,13,Jordan Dam,AL,1,,22,N,A,
2011,14,Logan Martin Dam,AL,1,Electric Utility,22,N,M,128.1
2012,14,Logan Martin Dam,AL,1,,22,N,M,
2013,14,Logan Martin Dam,AL,1,Electric Utility,22,N,M,
2014,14,Logan Martin Dam,AL,1,,22,N,M,
2015,14,Logan Martin Dam,AL,1,,22,N,M,
2016,14,Logan Martin Dam,AL,1,,22,N,M,
2017,14,Logan Martin Dam,AL,1,,22,N,A,
2011,15,Lay Dam,AL,1,Electric Utility,22,N,M,177
2012,15,Lay Dam,AL,1,,22,N,M,
2013,15,Lay Dam,AL,1,Electric Utility,22,N,M,
2014,15,Lay Dam,AL,1,,22,N,M,
2015,15,Lay Dam,AL,1,,22,N,M,
2016,15,Lay Dam,AL,1,,22,N,M,
2017,15,Lay Dam,AL,1,,22,N,A,
2011,16,Martin Dam,AL,1,Electric Utility,22,N,M,210.6
2012,16,Martin Dam,AL,1,,22,N,M,
2013,16,Martin Dam,AL,1,Electric Utility,22,N,M,
2014,16,Martin Dam,AL,1,,22,N,M,
2015,16,Martin Dam,AL,1,,22,N,M,
2016,16,Martin Dam,AL,1,,22,N,M,
2017,16,Martin Dam,AL,1,,22,N,A,
2011,17,Mitchell Dam,AL,1,Electric Utility,22,N,M,170
2012,17,Mitchell Dam,AL,1,,22,N,M,
2013,17,Mitchell Dam,AL,1,Electric Utility,22,N,M,
2014,17,Mitchell Dam,AL,1,,22,N,M,
2015,17,Mitchell Dam,AL,1,,22,N,M,
2016,17,Mitchell Dam,AL,1,,22,N,M,
2017,17,Mitchell Dam,AL,1,,22,N,A,
2011,18,Lewis Smith Dam,AL,1,Electric Utility,22,N,M,157.4
2012,18,Lewis Smith Dam,AL,1,,22,N,M,
2013,18,Lewis Smith Dam,AL,1,Electric Utility,22,N,M,
2014,18,Lewis Smith Dam,AL,1,,22,N,M,
2015,18,Lewis Smith Dam,AL,1,,22,N,M,
2016,18,Lewis Smith Dam,AL,1,,22,N,M,
2017,18,Lewis Smith Dam,AL,1,,22,N,A,
2011,19,Thurlow Dam,AL,1,Electric Utility,22,N,A,91
2012,19,Thurlow Dam,AL,1,,22,N,A,
2013,19,Thurlow Dam,AL,1,Electric Utility,22,N,A,
2014,19,Thurlow Dam,AL,1,,22,N,A,
2015,19,Thurlow Dam,AL,1,,22,N,A,
2016,19,Thurlow Dam,AL,1,,22,N,A,
2017,19,Thurlow Dam,AL,1,,22,N,A,
2011,20,Weiss Dam,AL,1,Electric Utility,22,N,A,87.6
2012,20,Weiss Dam,AL,1,,22,N,A,
2013,20,Weiss Dam,AL,1,Electric Utility,22,N,A,
2014,20,Weiss Dam,AL,1,,22,N,A,
2015,20,Weiss Dam,AL,1,,22,N,A,
2016,20,Weiss Dam,AL,1,,22,N,A,
2017,20,Weiss Dam,AL,1,,22,N,A,
2011,21,Yates Dam,AL,1,Electric Utility,22,N,A,50.5
