TYPE,ID,SULFUR_N,SULFUR_MEAN,SULFUR_MEDIAN,SULFUR_SD,SULFUR_MIN,SULFUR_MAX,SULFUR_LOW
State,01,10273,1.4107281222622408,1.36,0.6464193818985837,0,5.31,FALSE
State,03,1262,0.6646671949286846,0.66,0.20461140946516837,0.07,2.12,TRUE
State,04,1088,0.5191819852941176,0.51,0.09308062982926602,0.29,0.89,TRUE
State,05,294,0.575204081632653,0.365,0.5165147634585632,0.15,4.78,TRUE
State,08,14706,0.48646470828233374,0.47,0.1665923647513424,0.12,6.6,TRUE
State,09,312,0.5148397435897436,0.51,0.03701880929655471,0.46,0.67,TRUE
State,10,810,0.9614814814814815,0.79,0.4061307403684377,0.46,2.32,TRUE
State,12,3070,1.6035928338762215,1.05,1.024576313111346,0.43,4.29,FALSE
State,13,4880,1.5724405737704918,1.45,0.6313922115236931,0.32,3.5,FALSE
State,16,89,0.11325842696629214,0.09,0.05044743621062144,0.09,0.25,TRUE
State,17,31000,2.4606532258064515,2.7,0.8492202542525864,0.1,10.4,FALSE
State,18,27702,2.3659385603927516,2.46,1.0137276263847417,0,6.52,FALSE
State,19,1500,1.82158,2.21,1.2501566960891413,0.18,7.39,FALSE
State,20,1440,2.560486111111111,3.02,1.5255108987612018,0.17,6.23,FALSE
State,21,132900,1.4685332580887887,1.09,0.9065074045586954,0,38,FALSE
State,22,1071,0.681671335200747,0.65,0.21378106608150438,0.28,1.55,TRUE
State,24,6199,1.53312469753186,1.62,0.486325226216837,0,5.59,FALSE
State,25,1025,1.2010536585365854,1.2,0.20146015339766868,0.45,1.9,FALSE
State,26,5568,0.8514978448275862,0.8,0.43182962979311673,0.09,4.65,TRUE
State,27,1065,1.0729014084507043,0.68,1.3124272749804753,0.03,5.67,TRUE
State,28,1009,1.4981169474727454,0.92,0.9214266146313499,0.29,3.19,TRUE
State,29,3044,2.9034625492772665,3.1,1.4154409399416508,0.18,6.71,FALSE
State,30,9862,0.47299026566619345,0.4,0.17513872898528027,0.17,7,TRUE
State,31,526,0.40806083650190117,0.36,0.15237811399674067,0.15,1.37,TRUE
State,32,597,0.5194807370184255,0.51,0.09653683642026537,0.05,0.94,TRUE
State,33,283,1.5724381625441697,1.3,0.6500060492567517,0.67,3,FALSE
State,34,1603,1.1984466625077979,0.9,0.6498742950519862,0.17,3.32,TRUE
State,35,3421,0.7172990353697749,0.74,0.25100886676564965,0,7,TRUE
State,36,4129,1.6371300557035602,1.73,0.5756564106227832,0.02,4.24,FALSE
State,37,5530,0.9515931283905967,0.94,0.22621607805320493,0.37,2.73,TRUE
State,38,4018,0.8036908909905426,0.76,0.20382816502634282,0.1,6,TRUE
State,39,35053,2.745799788891108,2.89,1.1890691324612626,0.07,28,FALSE
State,40,1596,1.393377192982456,0.865,1.2246846940972207,0.14,5.75,TRUE
State,41,8,0.31875,0.32,0.01959409532049315,0.29,0.35,TRUE
State,42,64265,1.8821156150315101,1.88,0.7959393939710222,0,11.01,FALSE
State,45,4026,1.2375707898658719,1.17,0.34461740143620584,0.44,3.32,FALSE
State,46,58,0.871551724137931,0.87,0.12901518643287127,0.29,1.07,TRUE
State,47,7631,1.4802332590748264,1.35,0.572952572814256,0,6.1,FALSE
State,48,3868,1.0041365046535677,0.935,0.5595643267958416,0,3.68,TRUE
State,49,9024,0.6010372340425532,0.52,0.25909502678287716,0.1,4.41,TRUE
State,51,26791,1.0166429024672465,0.95,0.3214367279693487,0.01,6.43,TRUE
State,53,483,0.7063768115942028,0.71,0.1436538559613057,0.18,1.16,TRUE
State,54,107622,1.2924951218152423,0.85,0.9038817509425888,0,7.5,TRUE
State,55,2950,1.4146169491525424,1.51,0.8456209416312035,0.19,5.25,FALSE
State,56,114014,0.3026399389548652,0.29,0.11073461624397805,0,3.06,TRUE
County,01007,156,1.4139102564102564,1.545,0.43401438019575805,0.4,2.18,FALSE
County,01009,13,2.253846153846154,2.19,0.7918179342662308,0.41,4,FALSE
County,01019,2,1.7149999999999999,1.7149999999999999,0.09192388155425125,1.65,1.78,FALSE
County,01043,33,1.1203030303030304,1.07,0.2568253887430725,0.86,2.28,FALSE
