ORISPL,GF_BOILER,CEMS_UNIT
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
7,1,1
7,2,2
8,10,10
8,6,6
8,7,7
8,8,8
8,9,9
10,1,1
10,2,2
26,1,1
26,2,2
26,3,3
26,4,4
26,5,5
47,1,1
47,2,2
47,3,3
47,4,4
47,5,5
50,1,1
50,2,2
50,3,3
50,4,4
50,5,5
50,6,6
50,7,7
50,8,8
51,1,1
56,1,1
56,2,2
56,3,3
59,1,1
60,1,1
60,2,2
87,1,1
108,SGU1,SGU1
113,1,1
113,2,2
113,3,3
113,4,4
126,4,4
127,1,1
130,1,1
130,2,2
130,3,3
130,4,4
136,1,1
136,2,2
160,2,2
160,3,3
165,1,1
165,2,2
207,1,1
207,2,2
298,LIM1,LIM1
298,LIM2,LIM2
384,71,71
384,72,72
384,81,81
384,82,82
465,1,1
465,2,2
465,3,3
465,4,4
469,1,1
469,2,2
469,3,3
469,4,4
470,1,1
470,2,2
470,3,3
477,5,5
492,5,5
492,6,6
492,7,7
525,H1,H1
525,H2,H2
527,1,1
564,1,1
564,2,2
568,BHB1,BHB1
568,BHB2,BHB2
568,BHB3,BHB3
593,3,3
593,4,4
593,5,5
594,1,1
594,2,2
594,3,3
594,4,4
602,1,1
602,2,2
628,1,1
628,2,2
628,4,4
628,5,5
641,4,4
641,5,5
641,6,6
641,7,7
643,1,1
643,2,2
645,BB01,BB01
645,BB02,BB02
645,BB03,BB03
645,BB04,BB04
646,GB01,GB01
646,GB02,GB02
646,GB03,GB03
646,GB04,GB04
646,GB05,GB05
646,GB06,GB06
663,B2,B2
667,1,1A
667,2,2A
676,3,3
699,1,1
699,2,2
699,3,3
699,4,4
700,A2,A2
700,A3,A3
700,A4,A4
703,1BLR,1BLR
703,2BLR,2BLR
703,3BLR,3BLR
703,4BLR,4BLR
708,1,1
708,2,2
708,3,3
708,4,4
709,1,1
709,2,2
709,3,3
709,4,4
710,MB1,MB1
710,MB2,MB2
727,3,3
728,Y1BR,Y1BR
728,Y2BR,Y2BR
728,Y3BR,Y3BR
728,Y4BR,Y4BR
728,Y5BR,Y5BR
728,Y6BR,Y6BR
728,Y7BR,Y7BR
733,1,1
733,2,2
733,3,3
856,1,1
856,2,2
856,3,3
861,1,1
861,2,2
862,07,7
862,08,8
862,09,9
863,05,5
863,06,6
864,01,1
864,02,2
864,03,3
864,04,4
864,05,5
867,7,7
867,8,8
874,5,5
876,1,1
876,2,2
879,51,51
879,52,52
879,61,61
879,62,62
883,17,17
883,7,7
883,8,8
884,1,1
884,2,2
884,3,3
884,4,4
886,19,19
887,1,1
887,2,2
887,3,3
887,4,4
887,5,5
887,6,6
889,1,1
889,2,2
889,3,3
891,9,9
892,1,1
892,2,2
897,1,1
897,2,2
898,1,1
898,2,2
898,4,4
898,5,5
963,31,31
963,32,32
963,33,33
963,41,4
964,7,7
964,8,8
976,1,1
976,123,123
976,2,2
976,3,3
976,4,4
981,3,3
981,4,4
983,1,1
983,2,2
983,3,3
983,4,4
983,5,5
983,6,6
988,U1,U1
988,U2,U2
988,U3,U3
988,U4,U4
990,50,50
990,60,60
990,70,70
991,3,3
991,4,4
991,5,5
991,6,6
994,1,1
994,2,2
994,3,3
994,4,4
995,7,7
995,8,8
996,11,11
996,4,4
996,5,5
996,6,6
997,12,12
997,4,4
997,5,5
997,6,6
1001,1,1
1001,2,2
1004,7-1,7-1
1004,7-2,7-2
1004,8-1,8-1
1004,HRSG1,CTG1
1004,HRSG2,CTG2
1007,1,1
1007,2,2
1007,3,3
1008,1,1
1008,2,2
1008,3,3
1008,4,4
1010,1,1
1010,2,2
1010,3,3
1010,4,4
1010,5,5
1010,6,6
1012,1,1
1012,2,2
1012,3,3
1043,1SG1,1SG1
1043,2SG1,2SG1
1047,1,1
