pollutant,state_name,st_abbr,fips_state,fips_cnty,countyname,pw_1978,pw_1979,pw_1980,pw_1981,pw_1982,pw_1983,pw_1984,pw_1985,pw_1986,pw_1987,pw_1988,pw_1989,pw_1990
1-Hr Ozone (1979),ALABAMA,AL,01,055,Etowah County,,,,,,W,W,W,W,,,,
1-Hr Ozone (1979),ALABAMA,AL,01,073,Jefferson County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),ALABAMA,AL,01,089,Madison County,W,W,W,W,,,,,,,,,
1-Hr Ozone (1979),ALABAMA,AL,01,097,Mobile County,W,W,W,W,W,W,W,W,W,,,,
1-Hr Ozone (1979),ALABAMA,AL,01,103,Morgan County,W,W,W,W,,,,,,,,,
1-Hr Ozone (1979),ALABAMA,AL,01,113,Russell County,W,W,W,W,W,W,W,W,,,,,
1-Hr Ozone (1979),ALABAMA,AL,01,117,Shelby County,,,,,,,,,,,,,W
1-Hr Ozone (1979),ARIZONA,AZ,04,013,Maricopa County (Phoenix),W,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),ARIZONA,AZ,04,019,"Pima County (Ajo,Tuscon)",W,P,,,,,,,,,,,
1-Hr Ozone (1979),ARKANSAS,AR,05,119,Pulaski County,W,W,W,W,W,W,W,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,001,Alameda County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,007,Butte County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,011,Colusa County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,013,Contra Costa County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,017,El Dorado County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,019,Fresno County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,021,Glenn County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,025,Imperial County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,029,Kern County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,031,Kings County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,037,Los Angeles County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,039,Madera County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,041,Marin County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,043,Mariposa County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,047,Merced County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,053,Monterey County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,055,Napa County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,059,Orange County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,061,Placer County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,065,Riverside County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,067,Sacramento County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,069,San Benito County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,071,San Bernardino County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,073,San Diego County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,075,San Francisco County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,077,San Joaquin County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,079,San Luis Obispo County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,081,San Mateo County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,083,Santa Barbara County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,085,Santa Clara County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,087,Santa Cruz County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,089,Shasta County,P,P,P,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,095,Solano County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,097,Sonoma County,P,P,P,P,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,099,Stanislaus County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,101,Sutter County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,103,Tehama County,W,W,W,,,,,,,,,,
1-Hr Ozone (1979),CALIFORNIA,CA,06,107,Tulare County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,111,Ventura County,W,W,W,W,P,P,P,P,P,P,P,P,P
1-Hr Ozone (1979),CALIFORNIA,CA,06,113,Yolo County,W,W,W,W,W,W,W,W,W,W,W,W,W
1-Hr Ozone (1979),CALIFORNIA,CA,06,115,Yuba County,W,W,W,W,W,W,W,W,W,W,W,W,W
