AQCR codes/names/state name comes from: https://aqs.epa.gov/aqsweb/documents/codetables/aqcrs.html,,,,,,,,,
,,,,,,,,,
aqcr,aqcr_name,state,counties,towns,other,cfr_section,history,year_start,year_end
1,ALABAMA AND TOMBIGBEE RIVERS,Alabama,"Choctaw County, Clarke County, Conecuh County, Dallas County, Marengo County, Monroe County, Perry County, Washington County, Wilcox County",,,40 CFR 81.266,11/25/1971,1971,
2,COLUMBUS-PHENIX CITY,Alabama,"Autauga County, Bullock County, Butler County, Crenshaw County, Elmore County, Lee County, Lowndes County, Macon County, Montgomery County, Pike County, Russell County",,,40 CFR 81.58,11/25/1971,1971,
3,EAST ALABAMA,Alabama,"Calhoun County, Chambers County, Cherokee County, Clay County, Cleburne County, Coosa County, Etowah County, Randolph County, Talladega County, Tallapoosa County",,,40 CFR 81.199,11/25/1971,1971,
4,METROPOLITAN BIRMINGHAM,Alabama,"Bibb County, Blount County, Chilton County, Fayette County, Greene County, Hale County, Jefferson County, Lamar County, Pickens County, St. Clair County, Shelby County, Sumter County, Tuscaloosa County, Walker County",,,40 CFR 81.41,11/25/1971,1971,
5,MOBILE-PENSACOLA-PANAMA CITY-SOUTHERN MISSISSIPPI,Alabama,"Baldwin County, Escambia County, Mobile County",,,40 CFR 81.68,11/25/1971,1971,
6,SOUTHEAST ALABAMA,Alabama,"Barbour County, Coffee County, Covington County, Dale County, Geneva County, Henry County, Houston County",,,40 CFR 81.267,11/25/1971,1971,
7,TENNESSEE RIVER VALLEY-CUMBERLAND MOUNTAINS,Alabama,"Colbert County, Cullman County, De Kalb County, Franklin County, Jackson County, Lauderdale County, Lawrence County, Limestone County, Madison County, Marion County, Marshall County, Morgan County, Winston County",,,40 CFR 81.72,11/25/1971,1971,
8,COOK INLET,Alaska,,,,,,,
9,NORTHERN ALASKA,Alaska,,,,,,,
10,SOUTH CENTRAL ALASKA,Alaska,,,,,,,
11,SOUTHEASTERN ALASKA,Alaska,,,,,,,
12,ARIZONA-NEW MEXICO-SOUTHERN BORDER,Arizona,,,,,,,
13,CLARK-MOHAVE,Arizona,,,,,,,
14,FOUR CORNERS,Arizona,,,,,,,
15,PHOENIX-TUCSON,Arizona,,,,,,,
16,CENTRAL ARKANSAS,Arkansas,,,,,,,
17,METROPOLITAN FORT SMITH,Arkansas,,,,,,,
18,METROPOLITAN MEMPHIS,Arkansas,,,,,,,
19,MONROE-EL DORADO,Arkansas,,,,,,,
20,NORTHEAST ARKANSAS,Arkansas,,,,,,,
21,NORTHWEST ARKANSAS,Arkansas,,,,,,,
22,SHREVEPORT-TEXARKANA-TYLER,Arkansas,,,,,,,
23,GREAT BASIN VALLEY,California,"Alpine County, Inyo County, Mono County",,,40 CFR 81.159,11/25/1971,1971,
24,METROPOLITAN LOS ANGELES,California,,,,,,,
25,NORTH CENTRAL COAST,California,,,,,,,
26,NORTH COAST,California,,,,,,,
27,NORTHEAST PLATEAU,California,,,,,,,
28,SACRAMENTO VALLEY,California,,,,,,,
29,SAN DIEGO,California,,,,,,,
30,SAN FRANCISCO BAY AREA,California,,,,,,,
31,SAN JOAQUIN VALLEY,California,,,,,,,
32,SOUTH CENTRAL COAST,California,,,,,,,
33,SOUTHEAST DESERT,California,,,,,,,
248,Country of Canada,Canada,,,,,,,
14,FOUR CORNERS,Colorado,,,,,,,
34,COMANCHE,Colorado,,,,,,,
35,GRAND MESA,Colorado,,,,,,,
36,METROPOLITAN DENVER,Colorado,,,,,,,
37,PAWNEE,Colorado,,,,,,,
38,SAN ISABEL,Colorado,,,,,,,
39,SAN LUIS,Colorado,,,,,,,
40,YAMPA,Colorado,,,,,,,
41,EASTERN CONNECTICUT,Connecticut,,,,,,,
42,HARTFORD-NEW HAVEN-SPRINGFIELD,Connecticut,,,,,,,
43,NEW JERSEY-NEW YORK-CONNECTICUT,Connecticut,,,,,,,
44,NORTHWESTERN CONNECTICUT,Connecticut,,,,,,,
250,COUNTRY OF MEXICO,Country Of Mexico,,,,,,,
45,METROPOLITAN PHILADELPHIA,Delaware,,,,,,,
46,SOUTHERN DELAWARE,Delaware,,,,,,,
47,NATIONAL CAPITAL,District Of Columbia,,,,,,,
